,S1,S11,S10,S9,S5,S4,S13,S3,S2,S12
125,3256.4207731165034,3256.4207731165034,3256.4207731165034,3256.4207731165034,3256.4207731165034,3256.4207731165034,3256.4207731165034,3256.4207731165034,3256.4207731165034,3256.4207731165034
126,2212.686021636825,2212.686021636825,2212.686021636825,2212.686021636825,2212.686021636825,2212.686021636825,2212.686021636825,2212.686021636825,2212.686021636825,2212.686021636825
127,3195.8480635466726,3195.8480635466726,3195.8480635466726,3195.8480635466726,3195.8480635466726,3195.8480635466726,3195.8480635466726,3195.8480635466726,3195.8480635466726,3195.8480635466726
128,3890.430349565314,3890.430349565314,3890.430349565314,3890.430349565314,3890.430349565314,3890.430349565314,3890.430349565314,3890.430349565314,3890.430349565314,3890.430349565314
129,1772.5649172541025,1772.5649172541025,1772.5649172541025,1772.5649172541025,1772.5649172541025,1772.5649172541025,1772.5649172541025,1772.5649172541025,1772.5649172541025,1772.5649172541025
130,1029.082385782046,1029.082385782046,1029.082385782046,1029.082385782046,1029.082385782046,1029.082385782046,1029.082385782046,1029.082385782046,1029.082385782046,1029.082385782046
131,1204.7354804135762,1204.7354804135762,1204.7354804135762,1204.7354804135762,1204.7354804135762,1204.7354804135762,1204.7354804135762,1204.7354804135762,1204.7354804135762,1204.7354804135762
132,1394.9884655034073,1394.9884655034073,1394.9884655034073,1394.9884655034073,1394.9884655034073,1394.9884655034073,1394.9884655034073,1394.9884655034073,1394.9884655034073,1394.9884655034073
133,1567.0583186450408,1567.0583186450408,1567.0583186450408,1567.0583186450408,1567.0583186450408,1567.0583186450408,1567.0583186450408,1567.0583186450408,1567.0583186450408,1567.0583186450408
134,1512.3840721336146,1512.3840721336146,1512.3840721336146,1512.3840721336146,1512.3840721336146,1512.3840721336146,1512.3840721336146,1512.3840721336146,1512.3840721336146,1512.3840721336146
135,3943.577444382956,3943.577444382956,3943.577444382956,3943.577444382956,3943.577444382956,3943.577444382956,3943.577444382956,3943.577444382956,3943.577444382956,3943.577444382956
136,4002.180422208584,4002.180422208584,4002.180422208584,4002.180422208584,4002.180422208584,4002.180422208584,4002.180422208584,4002.180422208584,4002.180422208584,4002.180422208584
137,1494.941003016591,1494.941003016591,1494.941003016591,1494.941003016591,1494.941003016591,1494.941003016591,1494.941003016591,1494.941003016591,1494.941003016591,1494.941003016591
138,1140.3772117848991,1140.3772117848991,1140.3772117848991,1140.3772117848991,1140.3772117848991,1140.3772117848991,1140.3772117848991,1140.3772117848991,1140.3772117848991,1140.3772117848991
139,2498.0328722495415,2498.0328722495415,2498.0328722495415,2498.0328722495415,2498.0328722495415,2498.0328722495415,2498.0328722495415,2498.0328722495415,2498.0328722495415,2498.0328722495415
140,2591.6026083867346,2591.6026083867346,2591.6026083867346,2591.6026083867346,2591.6026083867346,2591.6026083867346,2591.6026083867346,2591.6026083867346,2591.6026083867346,2591.6026083867346
141,2472.2437031537283,2472.2437031537283,2472.2437031537283,2472.2437031537283,2472.2437031537283,2472.2437031537283,2472.2437031537283,2472.2437031537283,2472.2437031537283,2472.2437031537283
142,7109.713777835705,7109.713777835705,7109.713777835705,7109.713777835705,7109.713777835705,7109.713777835705,7109.713777835705,7109.713777835705,7109.713777835705,7109.713777835705
143,2524.800186286289,2524.800186286289,2524.800186286289,2524.800186286289,2524.800186286289,2524.800186286289,2524.800186286289,2524.800186286289,2524.800186286289,2524.800186286289
144,4370.18771281698,4370.18771281698,4370.18771281698,4370.18771281698,4370.18771281698,4370.18771281698,4370.18771281698,4370.18771281698,4370.18771281698,4370.18771281698
145,2948.791226083944,2948.791226083944,2948.791226083944,2948.791226083944,2948.791226083944,2948.791226083944,2948.791226083944,2948.791226083944,2948.791226083944,2948.791226083944
146,4094.2434777196345,4094.2434777196345,4094.2434777196345,4094.2434777196345,4094.2434777196345,4094.2434777196345,4094.2434777196345,4094.2434777196345,4094.2434777196345,4094.2434777196345
147,1589.1660881572582,1589.1660881572582,1589.1660881572582,1589.1660881572582,1589.1660881572582,1589.1660881572582,1589.1660881572582,1589.1660881572582,1589.1660881572582,1589.1660881572582
